sample_id	tool	wall_time_ms	peak_mem_kb	n_genes	n_variants
HG01261	GenomeGuard	67.87	476.2	20	22
HG01269	GenomeGuard	61.08	475.9	20	22
HG01271	GenomeGuard	60.737	478.2	20	22
HG01272	GenomeGuard	74.52	476.7	20	22
HG01273	GenomeGuard	78.334	476.5	20	22
HG01274	GenomeGuard	58.005	476.6	20	22
HG01275	GenomeGuard	58.459	475.9	20	22
HG01276	GenomeGuard	48.633	476.4	20	22
HG01277	GenomeGuard	53.066	476.6	20	22
HG01278	GenomeGuard	56.862	476.2	20	22
HG01279	GenomeGuard	49.49	476.9	20	22
HG01280	GenomeGuard	53.005	477.2	20	22
HG01281	GenomeGuard	52.564	476.6	20	22
HG01284	GenomeGuard	52.531	477.1	20	22
HG01286	GenomeGuard	52.794	476.3	20	22
HG01302	GenomeGuard	53.78	476.2	20	22
HG01303	GenomeGuard	50.896	476.0	20	22
HG01305	GenomeGuard	50.08	477.2	20	22
HG01308	GenomeGuard	52.125	476.2	20	22
HG01311	GenomeGuard	56.575	477.3	20	22
HG01312	GenomeGuard	63.824	477.2	20	22
HG01323	GenomeGuard	61.493	476.6	20	22
HG01325	GenomeGuard	59.274	476.3	20	22
HG01326	GenomeGuard	49.483	476.7	20	22
HG01334	GenomeGuard	56.445	477.1	20	22
HG01341	GenomeGuard	82.783	475.7	20	22
HG01342	GenomeGuard	70.974	477.7	20	22
HG01343	GenomeGuard	56.437	476.2	20	22
HG01344	GenomeGuard	50.712	476.2	20	22
HG01345	GenomeGuard	85.632	476.6	20	22
HG01346	GenomeGuard	76.34	477.3	20	22
HG01347	GenomeGuard	66.197	476.5	20	22
HG01348	GenomeGuard	65.7	476.2	20	22
HG01349	GenomeGuard	53.84	477.9	20	22
